"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Cameroon","Market Average","Market Average","meat_beef","2017-10-01","2016.34","2032.62","1995.6","1995.6","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-11-01","2007.19","2045.45","1990.93","2045.45","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-12-01","2036.21","2075.14","2014.9","2075.14","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-01-01","2061.71","2086.07","2034.48","2034.48","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-02-01","2043.23","2066.29","2020.17","2044.77","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-03-01","2047.98","2067.82","2028.15","2036.27","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-04-01","2042.98","2060.57","2025.39","2052.2","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-05-01","2052.35","2068.07","2036.63","2060.52","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-06-01","2059.77","2073.82","2045.73","2055.78","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-07-01","2059.08","2071.38","2046.79","2054.78","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-08-01","2058.97","2069.88","2048.06","2063.71","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-09-01","2064.95","2074.82","2055.07","2063.35","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-10-01","2066.22","2075.05","2044.1","2044.1","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-11-01","2054.3","2078.55","2042.48","2078.55","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2018-12-01","2074.09","2088.55","2059.63","2078.26","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2019-01-01","2078.04","2090.71","2065.36","2071.28","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2019-02-01","2075.65","2087.04","2058.47","2058.47","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2019-03-01","2067.3","2079.4","2055.2","2059.32","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2019-04-01","2065.87","2076.96","2054.77","2061.43","XAF"
